activity,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
0,0.14621,0.324326,0.954971,0.017204,0.349071,0.215424
0,0.14621,0.324326,0.954971,0.017204,0.349071,0.215424
0,0.14621,0.324326,0.954971,0.017204,0.349071,0.215424
0,0.14621,0.324326,0.954971,0.017204,0.349071,0.215424
0,0.14621,0.324326,0.954971,0.017204,0.349071,0.215424
0,0.14621,0.324326,0.954971,0.017204,0.349071,0.215424
0,0.14621,0.324326,0.954971,0.017204,0.349071,0.215424
0,0.14621,0.324326,0.954971,0.017204,0.349071,0.215424
0,0.14621,0.324326,0.954971,0.017204,0.349071,0.215424
0,0.14621,0.324326,0.954971,0.017204,0.349071,0.215424
0,0.14621,0.324326,0.954971,0.017204,0.349071,0.215424
0,0.14621,0.324326,0.954971,0.017204,0.349071,0.215424
0,0.14621,0.324326,0.954971,0.017204,0.349071,0.215424
0,0.14621,0.324326,0.954971,0.017204,0.349071,0.215424
0,0.14621,0.324326,0.954971,0.017204,0.349071,0.215424
0,0.14621,0.324326,0.954971,0.017204,0.349071,0.215424
0,0.14621,0.324326,0.954971,0.017204,0.349071,0.215424
0,0.14621,0.324326,0.954971,0.017204,0.349071,0.215424
0,0.14621,0.324326,0.954971,0.017204,0.349071,0.215424
0,0.045044,0.363037,0.913116,0.063217,0.35132,0.024494
0,0.045044,0.363037,0.913116,0.063217,0.35132,0.024494
0,0.045044,0.363037,0.913116,0.063217,0.35132,0.024494
0,0.045044,0.363037,0.913116,0.063217,0.35132,0.024494
0,0.045044,0.363037,0.913116,0.063217,0.35132,0.024494
0,0.045044,0.363037,0.913116,0.063217,0.35132,0.024494
0,0.045044,0.363037,0.913116,0.063217,0.35132,0.024494
0,0.045044,0.363037,0.913116,0.063217,0.35132,0.024494
0,0.045044,0.363037,0.913116,0.063217,0.35132,0.024494
0,0.045044,0.363037,0.913116,0.063217,0.35132,0.024494
0,0.045044,0.363037,0.913116,0.063217,0.35132,0.024494
0,0.045044,0.363037,0.913116,0.063217,0.35132,0.024494
0,0.045044,0.363037,0.913116,0.063217,0.35132,0.024494
0,0.045044,0.363037,0.913116,0.063217,0.35132,0.024494
0,0.045044,0.363037,0.913116,0.063217,0.35132,0.024494
0,0.045044,0.363037,0.913116,0.063217,0.35132,0.024494
0,0.045044,0.363037,0.913116,0.063217,0.35132,0.024494
0,0.045044,0.363037,0.913116,0.063217,0.35132,0.024494
0,0.02063,0.34552,0.956741,0.171416,0.136985,0.143532
0,0.02063,0.34552,0.956741,0.171416,0.136985,0.143532
0,0.02063,0.34552,0.956741,0.171416,0.136985,0.143532
0,0.02063,0.34552,0.956741,0.171416,0.136985,0.143532
0,0.02063,0.34552,0.956741,0.171416,0.136985,0.143532
0,0.02063,0.34552,0.956741,0.171416,0.136985,0.143532
0,0.02063,0.34552,0.956741,0.171416,0.136985,0.143532
0,0.02063,0.34552,0.956741,0.171416,0.136985,0.143532
0,0.02063,0.34552,0.956741,0.171416,0.136985,0.143532
0,0.02063,0.34552,0.956741,0.171416,0.136985,0.143532
0,0.02063,0.34552,0.956741,0.171416,0.136985,0.143532
0,0.02063,0.34552,0.956741,0.171416,0.136985,0.143532
0,0.02063,0.34552,0.956741,0.171416,0.136985,0.143532
0,0.02063,0.34552,0.956741,0.171416,0.136985,0.143532
0,0.02063,0.34552,0.956741,0.171416,0.136985,0.143532
0,0.02063,0.34552,0.956741,0.171416,0.136985,0.143532
0,0.02063,0.34552,0.956741,0.171416,0.136985,0.143532
0,0.02063,0.34552,0.956741,0.171416,0.136985,0.143532
0,0.02063,0.34552,0.956741,0.171416,0.136985,0.143532
0,0.002533,0.40834,0.854416,0.001016,0.184655,0.031769
0,0.002533,0.40834,0.854416,0.001016,0.184655,0.031769
0,0.002533,0.40834,0.854416,0.001016,0.184655,0.031769
0,0.002533,0.40834,0.854416,0.001016,0.184655,0.031769
0,0.002533,0.40834,0.854416,0.001016,0.184655,0.031769
0,0.002533,0.40834,0.854416,0.001016,0.184655,0.031769
0,0.002533,0.40834,0.854416,0.001016,0.184655,0.031769
